name,price,green_rate,plot_ratio,address
长岛别墅,16550,,0.35,铜山/铜山新区/彭祖路
碧桂园南湖湾,9698,,0.49,贾汪/青山泉镇/206国道
翔龙湾,20185,,0.49,新城区/新市政府/楚韵路
月亮湾,12000,,0.53,云龙/国基城邦/玉带路
宝龙观邸(别墅),27458,,0.6,"铜山/国基城邦/华山路,近玫瑰大道"
宝龙观邸,19297,,0.6,"铜山/国基城邦/华山路,近玫瑰大道"
墅立方,11639,,0.7,云龙/国基城邦/大学路
绿地湖语墅,10671,,0.77,铜山/铜山新区/华山路
绿城紫薇公馆,29040,,0.8,泉山/湖滨小区/金山南路
山水文园,8367,,0.8,铜山/国基城邦/458镇道
山水文园(别墅),8590,,0.8,铜山/国基城邦/458镇道
十二橡树庄园,4574,,0.8,铜山/铜山万达/汇河路
玉景美庐,7500,,0.9,新沂/新沂市区/玉景路1号
松霏花园,8998,,0.91,"泉山/风华园/翟北路,近北京路"
松霏花园(别墅),11948,,0.91,泉山/风华园/翟北路
云龙湖悦府,16333,,1,铜山/铜山新区/大学路9号
云龙湖峰荟,11888,,1,云龙/国基城邦/大学路
泊岸美墅西区,20003,,1,云龙/万达广场/鑫城路9号
弘阳凤鸣府(别墅),9671,,1.01,"贾汪/青山泉镇/凤鸣路,近泓福路"
弘阳凤鸣府,5766,,1.01,"贾汪/青山泉镇/凤鸣路,近泓福路"
海h南山(别墅),15956,,1.05,"泉山/开元四季/三环南路,近玉带路"
海h南山,17214,,1.05,"泉山/开元四季/三环南路,近玉带路"
紫云府,13962,,1.1,鼓楼/清水湾/天齐南路5号
惠民花园,4100,,1.15,邳州/邳州市区/华山北路
狮子山春光花园,10911,,1.2,"云龙/郭庄路/郭庄路,近备战路"
煤建南村,10495,,1.2,泉山/大润发/煤建路
关庄组团小区,13057,,1.2,泉山/湖滨小区/二环西路
逸山花园,12698,,1.2,泉山/凤鸣路/凤台路3号
茗城逸墅,9285,,1.2,泉山/四院/淮塔东路
金达花园,11704,,1.2,泉山/大润发/湖北路36号
湖悦天境,10317,,1.2,"铜山/铜山新区/钱江路,近凤湖路"
沈苑小区,8666,,1.2,鼓楼/堤北/黄河北路
奎园新居南区,9793,,1.2,泉山/凤鸣路/奎淮路
浙江商贸城,5602,,1.2,睢宁/城区/新市路
钢铁五金城,4678,,1.2,睢宁/城区/东升路
合群新村,9661,,1.2,泉山/段庄广场/苏堤北路
枫林天下二期,13405,,1.21,"铜山/铜山万达/大学路,近玫瑰路"
枫林天下二期(别墅),10530,,1.21,铜山/铜山万达/大学路
皇城大厦,7400,,1.25,云龙/民营工业园/青年路226号
狄湖新城,3974,,1.26,新沂/新沂市区/徐海西路
融创领地凤鸣桃源风雅颂,6584,,1.27,贾汪/新夏路口/鲁尔大道
御龙山水(东区),6498,,1.28,"贾汪/新夏路口/府佐路,近泓福路"
华美风景园(北区),9317,,1.29,泉山/淮西客运站/大彭路
湖滨花园小区,11475,,1.3,泉山/云龙湖风景区/段南路
鼓楼花园园中苑一期,10220,,1.3,鼓楼/荆马河/中山北路281号
滨河花园,10172,,1.3,鼓楼/荆马河/金马路
电业小区,9653,,1.3,鼓楼/堤北/复兴北路177号
祥和四季花园,11977,,1.3,鼓楼/祥和小区/煤港路
梅园公寓,13980,,1.3,云龙/沃尔玛/民主南路175号
百合嘉园,8521,,1.3,泉山/鑫苑景园/矿山路29号
城市枫景,8260,,1.3,"铜山/铜山新区/黄山路,近长江西路"
天能花园,9520,,1.3,鼓楼/东站/汉城路
党校宿舍,12295,,1.3,铜山/铜山新区/学苑路8号
新虞豪庭,4600,,1.3,邳州/邳州市区/邳新路
阳光公寓,9340,,1.3,云龙/宣武市场/复兴南路
观澜别院,16000,,1.3,"新城区/新市政府/商聚路,近迎宾大道"
西城景园,8061,,1.3,泉山/火花/大彭路
中央御景西区,7522,,1.3,沛县/沛县市区/汤沐路
国大景苑,5487,,1.3,新沂/新沂市区/郯新路
东方润园,27171,,1.3,泉山/市二院/和平路129号
东方润园(别墅),25438,,1.3,泉山/市二院/和平路129号
外余窑,10115,,1.3,泉山/市二院/吴庄路
福泽园,9883,,1.3,铜山/铜山万达/海河东路3号
东城茗门,4513,,1.3,金山桥开发区/高铁站/兴镇北路
天能小区,10344,,1.3,云龙/万达广场/备战路
城市之心,5285,,1.32,贾汪/青山泉镇/前委路12号
高盛汉郡,8556,,1.38,贾汪/新夏路口/徐州路
御城华府,5738,,1.4,沛县/沛县市区/滨河路
朱庄小区(西区),9060,,1.4,鼓楼/祥和路/朱庄南巷
一品文苑花园小区,3090,,1.45,睢宁/城区/文苑路
枫林天下三期,15000,,1.46,"铜山/国基城邦/大学路,近珠江西路"
枫林天下三期(别墅),14531,,1.46,"铜山/国基城邦/大学路,近珠江西路"
观澜郡,4960,,1.47,丰县/城区/西环路
中茵广场,9555,,1.5,云龙/云龙周边/楚韵路
翠薇园,10625,,1.5,泉山/泉山美墅/三环南路
美的观棠,8591,,1.5,"铜山/铜山新区/府前路,近纺织路"
润阳泓福壹号,7075,,1.5,贾汪/新夏路口/泓福路1号
悦龙湾,7966,,1.56,"邳州/邳州市区/长江路,近庐山路"
世茂东都汉之源,15065,,1.56,云龙/楚王陵/津浦东路
八里东城名苑,5705,,1.57,"睢宁/城区/324省道,近121省道"
香榭里,7302,,1.59,丰县/城区/工农路
中海九樾,11636,,1.6,"鼓楼/庆云桥西/二环北路,近平山路"
华信聚福园,5161,,1.6,新沂/新沂市区/市府东路
天坤香缇美墅,8593,,1.6,新沂/新沂市区/五华路
月桥花院,14912,,1.6,新城区/新市政府/富春路1号
恒盛佳苑,6484,,1.6,邳州/邳州市区/英才路
吉盛未来城,4880,,1.67,睢宁/城区/104国道
湖光山色南区,22916,,1.68,泉山/市二院/明珠路
颐居隐山观湖,8555,,1.7,"铜山/铜山新区/闽江路,近凤湖路"
枫林学府(别墅),12946,,1.7,"铜山/国基城邦/珠江西路,近大学路"
名城国际花园,6769,,1.7,邳州/邳州市区/锦江西路
福新苑,822,,1.74,新沂/新沂市区/徐海路111号
凤凰嗉B区,4315,,1.74,丰县/城区/西城路29号
奥体沁园,15367,,1.75,新城区/奥体中心/明正路19号
世茂东都天城,13751,,1.77,云龙/楚王陵/津浦东路
江山花园,6995,,1.78,丰县/城区/南环路
卢卡庄园,5300,,1.78,沛县/沛县市区/韩信路
望湖大厦,12692,,1.8,泉山/滨湖新天地少华街/湖北路
同发家和园,12954,,1.8,云龙/火车站/东三环
余窑新村,10601,,1.8,泉山/市二院/王陵路67-1号
中昂朗琴,15005,,1.8,鼓楼/杨庄/三环东路
康城金色家园,8614,,1.8,沛县/沛县市区/红光路59号
永泰锦园,11751,,1.8,"新城区/奥体中心/太行路,近新元大道"
黎明锦绣豪庭,6712,,1.8,邳州/邳州市区/银杏大道
盈佳香荷湾,12654,,1.8,鼓楼/下淀/广山路3号
十里花溪,4748,,1.8,贾汪/新夏路口/泓福路2号
紫金雅苑,5235,,1.84,贾汪/世纪西路/桃园路
景泰嘉园,5037,,1.86,丰县/城区/丰黄路
中海丽景豪庭小区,6206,,1.87,睢宁/城区/幸福路6号
丰泽园,6130,,1.88,"丰县/城区/丰邑大道,近汉韵路"
桃源公馆,5995,,1.89,贾汪/新夏路口/桃源路
国际未来城(A区),6459,,1.9,邳州/邳州市区/建设南路
悦庭,9488,,1.92,新城区/商务城/唐盛路6号
碧桂园B悦府,6000,,1.95,"丰县/城区/东城路,近南苑路"
融创枫丹公馆,6666,,1.99,"丰县/城区/经五路,近南环路"
枫林学府,11903,,1.99,"铜山/国基城邦/珠江西路,近大学路"
咏泉山庄,4700,,1.99,邳州/邳州市区/天山北路
鑫湖花园,9875,,2,泉山/湖滨小区/湖滨路
恒茂福泽园,11107,,2,铜山/铜山万达/黄河东路
荣康公寓,16247,,2,泉山/大润发/吴庄路18号
和平公寓,10769,,2,云龙/沃尔玛/和平路15号
华宇九州府,12636,,2,"泉山/贵邦财富大厦/矿山路,近西三环路"
银城致享城,8684,,2,铜山/铜山新区/银山路16号
美的工润明湖,13368,,2,"金山桥开发区/高铁站/明湖路,近振兴大道"
保利合景珑湾,12930,,2,"金山桥开发区/高铁站/鸿畅路,近和平大道"
锦绣东城,6530,,2,"丰县/城区/东城路,近南环路"
红旗康居家园,2900,,2,邳州/邳州市区/燕陈线
康城府邸,6061,,2,新沂/新沂市区/市府东路
东方名人湾,7461,,2,新沂/新沂市区/沭东大道
绿地商务城梵顿公馆,13406,,2,新城区/奥体中心/太行路
苏宁悦城,10487,,2,"鼓楼/九里/天齐北路,近北三环快速路"
华泰佳园(北区),5000,,2,邳州/邳州市区/民主路66号
亚新锦园,6413,,2,邳州/邳州市区/世纪大道
山水澜庭,6071,,2,邳州/邳州市区/泰州路
福馨家园,6878,,2,邳州/邳州市区/邳新路
欢乐城,7454,,2.01,丰县/城区/东城路
滨河蓝庭,5299,,2.01,丰县/城区/南环路
滨河蓝庭(别墅),8019,,2.01,丰县/城区/南环路
康城雅居,5774,,2.04,新沂/新沂市区/黄沐路
正德秋实园,11413,,2.1,"泉山/矿业大学/三环南路,近解放南路"
安怡园小区,2800,,2.1,沛县/沛县市区/204县道
红枫家园,5000,,2.1,新沂/新沂市区/人民路
金丰尚城,6200,,2.1,丰县/城区/南环路
学府茗苑,7071,,2.11,睢宁/城区/苏源南路
天润御景园,6769,,2.17,"睢宁/城区/睢河路,近永安路"
港利上城国际,8682,,2.19,鼓楼/鼓楼周边/北三环快速路
南都国际,8429,,2.2,泉山/泉山森林公园/解放南路
尚景名庭,14023,,2.2,云龙/绿地世纪城/民祥路1号
江山御,12000,,2.2,铜山/国基城邦/大学路29号
鱼先生的社区,8417,,2.2,泉山/火花/时代大道1号
金域华府,6917,,2.2,睢宁/城区/八一西路
翰林华府,7075,,2.2,丰县/城区/南环路
云龙观邸,20945,,2.2,泉山/市二院/明珠路
东方名郡(北区),7642,,2.2,邳州/邳州市区/长江路
润企滨河苑,5798,,2.21,"睢宁/城区/新城东路,近天虹大道"
云龙华府(商住楼),9618,,2.24,云龙/绿地世纪城/庆丰路73号
荣丰学士园,6378,,2.26,"丰县/城区/向阳路,近南环路"
恒大滨河左岸,12794,,2.27,"泉山/交通银行/欣欣路,近长安路"
东方春城,5959,,2.28,丰县/城区/解放东路
世纪锦园,9407,,2.3,鼓楼/杨庄/下淀路139号
亿富银泰城,7142,,2.3,"睢宁/城区/元府西路,近八一路"
歌风新区,6153,,2.3,沛县/沛县市区/香城路35号
博爱大厦,14052,,2.3,泉山/段庄广场/淮海西路133号
申花名都,6237,,2.37,丰县/城区/南苑东路
状元府,7947,,2.39,睢宁/城区/人民西路
华厦南山水镇,8748,,2.39,铜山/铜山万达/黄河路
盛世年华,12528,,2.4,铜山/铜山新区/北京路18号
美的云熙府,17837,,2.4,"鼓楼/庆云桥西/中山北路,近铜沛路"
绿地花都运河小镇,5421,,2.44,"贾汪/青山泉镇/建平路,近206国道"
锦绣江南,5783,,2.46,邳州/邳州市区/华山北路
石榴运河首府,0,,2.5,邳州/邳州市区/山路
四季连城,9627,,2.5,"鼓楼/九里/西三环,近北三环"
彭鲁广场,2584,,2.5,贾汪/青山泉镇/前委西路
中骏云景台,11153,,2.5,铜山/铜山万达/黄山路24号
美的乐城,11219,,2.5,鼓楼/下淀/下淀路252号
高盛国际花园城,7993,,2.5,丰县/城区/中阳大道
金地首府,6968,,2.51,丰县/城区/南环路
侨城中央公园,6620,,2.53,沛县/沛县市区/正阳大道
万科公园里,11412,,2.58,"鼓楼/九里/丁万河南路,近平山路"
水韵汉府,7281,,2.6,邳州/邳州市区/建设北路
和润卧龙城,5602,,2.6,贾汪/新夏路口/泓福路
融耀新城,6130,,2.61,丰县/城区/北苑中路
翰林世家,5500,,2.63,沛县/沛县市区/汤沐路
紫金嘉苑,3800,,2.66,沛县/沛县市区/新孔线
小城故事,7222,,2.68,"铜山/铜山万达/北京路,近万达路"
泰山小区,10337,,2.7,泉山/矿业大学/大学城西路
丰源大厦,9446,,2.7,云龙/汽车客运总站/青年路57号
领地融创宸公馆,8800,,2.7,"金山桥开发区/高铁站/阳光路,近大大路"
玫瑰园,5539,,2.7,"丰县/城区/支农路,近南环路"
巴塞罗那,2416,,2.7,新沂/新沂市区/钟吾南路1号
永嘉新城中心,8166,,2.7,新城区/奥体中心/汉风路
新都市华庭,5468,,2.72,"沛县/沛县市区/东环路,近东风西路"
金泰尚城,7987,,2.73,"睢宁/城区/文学北路,近中央大街"
融创玉兰公馆,10455,,2.8,"泉山/火花/310国道,近311国道"
盛世珑庭,9050,,2.8,沛县/沛县市区/正阳路
君盛广场,12011,,2.8,鼓楼/祥和路/中山北路
宏利达金水湾,7357,,2.85,邳州/邳州市区/世纪大道
金府家园,18000,,2.91,泉山/湖滨小区/湖北路
怡美家园(2期),12902,,2.97,鼓楼/堤北/二环北路
中汉财富湾,11696,,2.99,铜山/铜山万达/北京南路100号
圆梦花园,11319,,3,云龙/天桥东/津浦东路
融创淮海壹号,14036,,3,"泉山/火花/西三环路,近矿山路"
万科新都会,10859,,3,铜山/铜山万达/北京北路16号
南郊中茵城,18000,,3,云龙/沃尔玛/和平路
华府天地家园,17220,,3,"鼓楼/堤北/煤港路,近二环北路"
万泰广场,8510,,3,铜山/铜山万达/北京南路285号
凤鸣城A区,5680,,3.08,丰县/城区/工农路
月星环球港,8927,,3.1,贾汪/新夏路口/徐海路8号
浙广首府,8174,,3.1,铜山/铜山万达/北京路
颖都花园,19871,,3.2,泉山/淮西新一街/淮海西路195号
汉城国际花苑二期,6990,,3.2,沛县/沛县市区/汉城路
龙源观邸,5200,,3.2,沛县/沛县市区/徐沛路
万科北宸天地,17160,,3.4,鼓楼/祥和路/二环北路
荣盛城,10513,,3.5,泉山/火花/新淮海西路43号
丰储街新旺角,11140,,3.5,"云龙/沃尔玛/丰储街,近民主南路"
汇川大象城(别墅),8084,,3.6,邳州/邳州市区/瑞兴南路
汇川大象城,7108,,3.6,邳州/邳州市区/瑞兴南路
天赋广场,11884,,3.9,铜山/铜山万达/北京路
30克拉,10314,,4.46,"金山桥开发区/高铁站/杨山路,近蟠桃山路"
金博星城,12441,,4.5,鼓楼/祥和路/奔腾大道南
世茂嘉园,7222,,4.5,邳州/邳州市区/人民路
和信广场,11607,,4.8,鼓楼/彭城广场/复兴北路27号
地王大厦,18036,,5,云龙/沃尔玛/解放路135号
帝王大厦,6470,,5,沛县/沛县市区/汉台路
绿地商务城,7866,,5.2,新城区/商务城/昆仑大道2号
新苏中心商业广场(北区),7732,,5.46,邳州/邳州市区/银杏大道
天成国贸中心,8000,,9.9,云龙/青年路/大同街125号
金地国际,12092,10.00%,,鼓楼/古彭广场/中山北路8号
银地徐州农机汽车大市场,8000,18.00%,1.7,金山桥开发区/高铁站/徐海路88号
奎园小区望月园,10383,20.00%,1.3,泉山/奎园西门/淮塔东路
天成花园,11244,20.00%,,"泉山/矿业大学/解放南路,近学府路"
金阳家园,12136,20.00%,,泉山/小康人家/二轻路
碧螺山庄(五区),10303,20.00%,3,金山桥开发区/碧螺山庄/金桥路10号
中凯城市之光,14114,20.00%,2.2,泉山/段庄广场/淮海西路
宏宇新天地,9360,20.00%,2.3,鼓楼/富源国际/环城路167号
金庭嘉园,12400,20.00%,3,泉山/淮海西路/西安北路
东阁小区,9713,20.00%,,鼓楼/富源国际/黄河东路15号
狮子山小区,10501,20.00%,,"云龙/郭庄路/德政路,近郭庄路"
黄河小区,9549,20.00%,1,"铜山/铜山新区/黄河路,近北京路"
西苑民乐园,10014,20.00%,,泉山/黄河南路/黄河南路116号
醒狮小区(一期),11923,20.00%,,泉山/香港名店街/富国街
奎中小区,10589,20.00%,1.2,泉山/四院/奎山中街10号
黄河新村,10342,20.00%,1,"泉山/彭城广场/黄河南路,近正大路"
锦绣嘉园,19406,20.00%,2.7,泉山/吴庄花园/新光路
惠民花园小区,8251,20.00%,0.8,新城区/大龙湖/汉源大道
时代华庭,13571,20.00%,3,泉山/矿业大学/金山东路
二环小区,10206,20.00%,,鼓楼/鼓楼广场/二环北路
舜禾公寓,14015,20.00%,2.7,泉山/市二院/夹河街36号
九龙湖福地阁,13517,20.00%,7.2,鼓楼/鼓楼广场/二环北路
汉韵小区(北区),10635,20.00%,3,鼓楼/鼓楼周边/襄王北路
学苑小区,7608,20.00%,,新沂/新沂市区/203县道
中学街小区,12838,20.00%,,鼓楼/古彭广场/民主北路
云龙万达广场,10268,20.00%,2.8,云龙/万达广场/和平大道58号
碧螺五区,10000,20.00%,3,鼓楼/金山桥/洞山路
金色家园,7070,20.00%,2.61,丰县/城区/工农路
融创凤鸣桃花源(别墅),14765,20.00%,0.66,贾汪/青山泉镇/凤鸣路
万达中心名宅,16332,20.00%,2.5,云龙/万达广场/庆丰路，近民祥园路
公元里,22912,20.00%,1,泉山/凤鸣路/解放路
段庄北小区,10616,21.00%,2.2,泉山/小康人家/工农北路
尚城国际,12551,21.00%,2.7,泉山/段庄广场/淮海西路272号
宏基天城,1119,21.00%,2.7,新沂/新沂市区/市府路40号
沛县帝都大厦,5800,22.00%,2.7,沛县/沛县市区/汤沐路11-1号
美的广场,7228,22.00%,3.5,"新城区/奥体中心/昆仑大道,近明正路"
文化城,7666,23.00%,1.2,泉山/康居小区/泰山路
福汇雅园,15354,23.00%,2.95,泉山/段庄广场/建国西路128号
福源国际馥园,18207,24.00%,,鼓楼/堤北/坝子街
管道公寓,15211,25.00%,1.3,"铜山/铜山新区/黄山路,近楚河路"
港南小区,10994,25.00%,1.5,鼓楼/鼓楼广场/中山北路
景染名居,13473,25.00%,2.8,"云龙/丰储街/民主南路,近建国东路"
中枢小区,10693,25.00%,2.5,泉山/彭城广场/中枢街
黄山新村小区,10168,25.00%,,云龙/黄山新村/黄山路
王场小区,9060,25.00%,,鼓楼/堤北/复兴北路
新吴庄东区,10633,25.00%,2.6,泉山/滨湖新天地少华街/湖北路
馨园小区,11744,25.00%,2.5,"云龙/万达广场/黄山路,近民祥园路"
民馨园东区,9333,25.00%,2.5,鼓楼/东站/黄河北路
山居花园,14602,25.00%,,云龙/九七医院/三环东路
新都佳苑,13720,25.00%,2.5,泉山/段庄广场/淮海西路253号
望景花园,14530,25.00%,3.4,泉山/中山南路/中山南路126号
兴华小区,9915,25.00%,,鼓楼/堤北/复兴北路
山水豪庭,9815,25.00%,2.5,云龙/彭城路/中山南路145号
黄山公寓,6989,25.00%,1.3,云龙/黄山新村/黄山路6号
铜东小区,9176,25.00%,1.21,泉山/凤鸣路/奎山25号
民馨园三期东区,9204,25.00%,2.5,鼓楼/九里/西苑中路
汉韵花园,4666,25.00%,1.8,"沛县/沛县市区/253省道,近珠江路"
绿地世纪城(北区),14453,25.00%,1.52,云龙/万达广场/民祥园路
民馨园西区,9800,25.00%,2.5,鼓楼/九里/西苑中路
龙商荣域,12974,25.00%,3,云龙/沃尔玛/解放路
嘉德金鼎广场,6501,25.00%,1.2,邳州/邳州市区/建设南路8号
玉融瀚景园,7187,25.00%,2.35,新沂/新沂市区/钟吾路2号
铁路花园小区,12077,25.00%,,云龙/楚王陵/复兴南路301号
香格里拉二期,7265,27.00%,2.5,新沂/新沂市区/人民路
天润花园,13223,28.00%,1.26,鼓楼/和风雅致/二环北路10号
崔庄小区,9373,28.00%,0.8,泉山/矿业大学/解放南路
金狮小区,5492,28.00%,,云龙/民富园/三环东路
学府嘉苑,10107,28.00%,,泉山/泉山森林公园/解放南路，近学府路
锦绣茗都,15600,28.00%,5.7,鼓楼/九龙湖/解放北路4号
万隆公寓,9636,28.00%,0.8,鼓楼/祥和路/祥和东街1号
万裕花园,15747,28.00%,,泉山/凤鸣路/凤台路8号
银龙嘉园,5720,28.00%,1.2,丰县/城区/解放东路
徐州风华园,11200,30.00%,,泉山/风华园/三环南路130号
锦绣山水(南区),15718,30.00%,1.5,鼓楼/荆马河/奔腾大道
锦绣年华,13961,30.00%,2.4,泉山/小康人家/二轻路3号
贵邦俊园(西区),12835,30.00%,1.5,云龙/九七医院/响山路1-101号
怡康花园,13874,30.00%,1.6,鼓楼/九龙湖/马场湖西路
春雨花园,11074,30.00%,0.9,泉山/快哉亭公园/三环西路
永康小区,16991,30.00%,2.5,鼓楼/彭城广场/洪学巷
山水龙瑞,13798,30.00%,2,鼓楼/荆马河/机场路104号
豪绅嘉苑,11901,30.00%,1.35,鼓楼/东站/观宇路2号
现代汉城,7080,30.00%,1.5,邳州/邳州市区/长江路
民安园,11693,30.00%,1.5,泉山/西苑/民安南路
中锐星尚城,14882,30.00%,2.2,"新城区/新市政府/丽水路,近清风路"
春华园,11493,30.00%,,鼓楼/堤北/中山北路
国华天玺,15562,30.00%,3,鼓楼/古彭广场/中山北路249号
贵和苑,14390,30.00%,2.19,鼓楼/九龙湖/马场湖西路
杏山花园,8565,30.00%,2,泉山/云龙湖风景区/三环西路
万科城A1区,13849,30.00%,1.8,鼓楼/鼓楼周边/天齐路6号
幸福家园(东区),10892,30.00%,1.68,泉山/淮西客运站/新淮海西路
碧水湾(南区),10771,30.00%,1.9,"泉山/碧水湾/泉新路,翟北路"
天骄世家,22447,30.00%,2.7,鼓楼/堤北/环城路173号
华商清水湾D区,13198,30.00%,1.6,鼓楼/荆马河/清水路
永嘉太阳城,13134,30.00%,1.28,泉山/泉山美墅/三环南路29号
水岸春天,11340,30.00%,1.5,鼓楼/清水湾/奔腾大道
金山福地一期,12135,30.00%,1.6,"金山桥开发区/金龙湖/徐海路,近汉源大道"
恒昌花园,11705,30.00%,,鼓楼/堤北/华祖庙路
星光名庭,12169,30.00%,1.4,金山桥开发区/泰隆商业街/长安大道
风华南苑,10761,30.00%,1,"铜山/文泰康城/风华南路,近翟南路"
湖光山色北区,20430,30.00%,1.66,泉山/建国西路/建国西路
